,Words1,Meaning1,Frequency1,pos,Cumulative,headword
401,ohrolopē,'year',32,noun,8834,ohrolopē
403,eto,'tree',31,noun,8865,eto
402,etvlwv,'town',31,noun,8896,etvlwv
36,yekc-,'be strong',30,verb,8926,yekcetv
404,hocefkv,'name',30,noun,8956,hocefkv
405,vne,'me',30,noun,8986,vne
37,vlvk-,'arrive here (sg.)',30,verb,9016,vlvketv
406,fvccv,'truth',28,noun,9044,fvccv
407,ofv,'inside',28,noun,9072,ofv
38,vkerric-,'think about',28,verb,9100,vkerricetv
39,huer-,'stand',28,verb,9128,hueretv
408,*na,'body',28,noun,9156,*na
410,sokhv,'pig',27,noun,9183,sokhv
40,hofon-,'be too long',27,verb,9210,hofonetv
409,mi,'there',27,noun,9237,mi
41,noric-,'cook',27,verb,9264,noricetv
412,vce,'corn',24,noun,9288,vce
411,kvpe,'soap',24,noun,9312,kvpe
42,cvfk-,'drip',23,verb,9335,cvfketv
413,uewv,'water',23,noun,9358,uewv
415,ēkvnv,'land',22,noun,9380,ēkvnv
414,hoktē,'woman',22,noun,9402,hoktē
45,vpvy-,'put with',21,verb,9423,vpvyetv
44,poy-,'finish',21,verb,9444,poyetv
43,mvnett-,'be young',21,verb,9465,mvnettetv
418,soletawv,'soldier',20,noun,9485,soletawv
417,*ckuce,'aunt (on mother's side)',20,noun,9505,*ckuce
416,estvlke,'people',20,noun,9525,estvlke
46,apohic-,'listen',20,verb,9545,apohicetv
47,hoyvn-,'pass by (sg),20,verb,9565,hoyvnetv
48,hoktvl-,'get old (woman)',20,verb,9585,hoktvletv
49,war-,'slice',20,verb,9605,waretv
